Country Name,Country Code,Year,Value,Rank,Country/Territory,Capital,Continent,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Population,Inflation,Total,Coal,Oil,Gas,Cement,Flaring,Per Capita,TradeValue in 1000 USD
Arab World,ARB,1968,25760683041.0857,,,,,,,,,,,,,,,,,,
Arab World,ARB,1969,28434203615.4829,,,,,,,,,,,,,,,,,,
Arab World,ARB,1970,31385499664.0672,,,,,,,,,,,,,,,,,,
Arab World,ARB,1971,36426909888.3928,,,,,,,,,,,,,,,,,,
Arab World,ARB,1972,43316056615.4562,,,,,,,,,,,,,,,,,,
Arab World,ARB,1973,55018394945.5825,,,,,,,,,,8.26666666600004,,,,,,,,
Arab World,ARB,1974,105145803084.377,,,,,,,,,,15.5282817502668,,,,,,,,
Arab World,ARB,1975,116337021938.341,,,,,,,,,,9.66969548151247,,,,,,,,
Arab World,ARB,1976,144846175400.488,,,,,,,,,,10.3174158877413,,,,,,,,
Arab World,ARB,1977,167308327683.593,,,,,,,,,,11.989283322105,,,,,,,,
Arab World,ARB,1978,183555544342.189,,,,,,,,,,9.71603274954343,,,,,,,,
Arab World,ARB,1979,248646206367.003,,,,,,,,,,,,,,,,,,
Arab World,ARB,1980,338177454717.54,,,,,,,,,,9.62605664613179,,,,,,,,
Arab World,ARB,1981,348592795413.116,,,,,,,,,,10.7585034160145,,,,,,,,
Arab World,ARB,1982,324328753765.3,,,,,,,,,,8.33125575581154,,,,,,,,
Arab World,ARB,1983,303962539723.08,,,,,,,,,,5.49366551432092,,,,,,,,
Arab World,ARB,1984,307940771858.542,,,,,,,,,,8.11639795517099,,,,,,,,
Arab World,ARB,1985,303893618415.542,,,,,,,,,,7.25436179981637,,,,,,,,
Arab World,ARB,1986,289029150639.442,,,,,,,,,,6.7988584474884,,,,,,,,
Arab World,ARB,1987,312681678329.933,,,,,,,,,,4.2224166624075,,,,,,,,
Arab World,ARB,1988,307503035642.516,,,,,,,,,,5.9115449637349,,,,,,,,
Arab World,ARB,1989,322325140494.725,,,,,,,,,,7.74088603961338,,,,,,,,
Arab World,ARB,1990,446877161735.16,,,,,,,,,,8.45146240803884,,,,,,,,
Arab World,ARB,1991,439779177865.334,,,,,,,,,,9.00000000000004,,,,,,,,
Arab World,ARB,1992,471163515479.771,,,,,,,,,,9.35975158953137,,,,,,,,
Arab World,ARB,1993,476513630620.727,,,,,,,,,,9.37034415971456,,,,,,,,
