,Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
38351,Namibia,NAM,2021,4.014822,0.048576,3.446255,0.0,0.519991,0.0,,1.586792
38618,Nauru,NRU,2016,0.051296,0.0,0.051296,0.0,0.0,0.0,,4.485092
38619,Nauru,NRU,2017,0.05496,0.0,0.05496,0.0,0.0,0.0,,4.704674
38620,Nauru,NRU,2018,0.05496,0.0,0.05496,0.0,0.0,0.0,,4.609192
38621,Nauru,NRU,2019,0.05496,0.0,0.05496,0.0,0.0,0.0,,4.530168
38622,Nauru,NRU,2020,0.058006,0.0,0.058006,0.0,0.0,0.0,,4.710166
38623,Nauru,NRU,2021,0.059611,0.0,0.059611,0.0,0.0,0.0,,4.764679
38890,Nepal,NPL,2016,9.760756,2.615123,5.237571,0.0,1.908062,0.0,,0.350335
38891,Nepal,NPL,2017,11.64753,2.997152,6.360704,0.0,2.289674,0.0,,0.413276
38892,Nepal,NPL,2018,14.833215,4.338176,7.060528,0.0,3.434511,0.0,,0.520341
38893,Nepal,NPL,2019,13.42833,3.42584,6.239792,0.0,3.762698,0.0,,0.465736
38894,Nepal,NPL,2020,13.944494,3.596216,6.58558,0.0,3.762698,0.0,,0.475133
38895,Nepal,NPL,2021,14.173067,3.642545,6.767824,0.0,3.762698,0.0,,0.471885
39162,Netherlands,NLD,2016,164.862023,40.067734,53.200643,68.948127,0.23898,1.103562,1.302977,9.627258
39163,Netherlands,NLD,2017,162.493965,36.032114,52.933151,70.730035,0.297969,1.117856,1.382841,9.443372
39164,Netherlands,NLD,2018,158.62784,32.532565,53.609722,69.856876,0.220412,1.101209,1.307055,9.176643
39165,Netherlands,NLD,2019,153.032807,25.30793,52.999956,72.47401,0.006337,1.062042,1.182532,8.813598
39166,Netherlands,NLD,2020,137.849518,16.994711,48.155713,70.666977,0.0,0.931461,1.100655,7.906683
39167,Netherlands,NLD,2021,141.045431,23.00083,47.937075,68.082747,0.006337,0.925194,1.093249,8.058958
39434,New Caledonia,NCL,2016,5.315237,2.425568,2.846928,0.0,0.042741,0.0,,18.732243
39435,New Caledonia,NCL,2017,5.34516,2.740672,2.5648,0.0,0.039688,0.0,,18.797885
39436,New Caledonia,NCL,2018,5.345641,2.497136,2.815686,0.0,0.032819,0.0,,18.764537
39437,New Caledonia,NCL,2019,5.11868,2.484192,2.605104,0.0,0.029384,0.0,,17.936743
39438,New Caledonia,NCL,2020,5.386592,2.607737,2.74947,0.0,0.029384,0.0,,18.807735
39439,New Caledonia,NCL,2021,5.496273,2.641332,2.825557,0.0,0.029384,0.0,,19.097542
39706,New Zealand,NZL,2016,34.152639,4.465043,19.489269,7.893822,0.486377,1.152258,0.66587,7.316205
39707,New Zealand,NZL,2017,35.688127,4.669294,20.361619,8.517795,0.443775,1.089133,0.606511,7.519223
39708,New Zealand,NZL,2018,35.704539,5.249307,20.533968,7.898728,0.417966,0.992163,0.612408,7.379218
39709,New Zealand,NZL,2019,37.121034,5.985768,20.911832,8.240141,0.41094,0.912907,0.659446,7.485537
39710,New Zealand,NZL,2020,34.456753,5.755663,19.124118,7.846914,0.379157,0.780728,0.570172,6.808111
39711,New Zealand,NZL,2021,33.789825,6.751966,18.649909,6.657892,0.379157,0.780728,0.570172,6.587061
39978,Nicaragua,NIC,2016,5.406146,0.0,5.103753,0.0,0.302393,0.0,,0.846134
39979,Nicaragua,NIC,2017,5.461305,0.0,5.158912,0.0,0.302393,0.0,,0.842725
39980,Nicaragua,NIC,2018,5.199214,0.0,4.935589,0.0,0.263625,0.0,,0.791088
39981,Nicaragua,NIC,2019,5.219314,0.0,4.986704,0.0,0.23261,0.0,,0.783219
39982,Nicaragua,NIC,2020,4.556966,0.0,4.324356,0.0,0.23261,0.0,,0.674517
39983,Nicaragua,NIC,2021,5.05977,0.0,4.82716,0.0,0.23261,0.0,,0.738594
40250,Niger,NER,2016,2.146714,0.359072,1.681776,0.0,0.019762,0.086104,,0.102607
40251,Niger,NER,2017,2.251561,0.337656,1.820409,0.0,0.019762,0.073734,,0.103578
40252,Niger,NER,2018,1.792657,0.326096,1.384992,0.0,0.02015,0.06142,,0.079402
40253,Niger,NER,2019,2.468624,0.326592,1.985241,0.0,0.100748,0.056043,,0.105301
40254,Niger,NER,2020,2.491381,0.295738,2.024959,0.0,0.100748,0.069936,,0.102384
40255,Niger,NER,2021,2.698898,0.341988,2.163008,0.0,0.100748,0.093154,,0.106876
40522,Nigeria,NGA,2016,116.950162,0.139232,60.554928,34.434272,8.524847,13.296883,,0.619876
40523,Nigeria,NGA,2017,112.776763,0.135568,58.488432,32.415408,7.362368,14.374988,,0.582838
40524,Nigeria,NGA,2018,105.230432,0.12824,48.452736,34.339008,8.137354,14.173094,,0.530428
40525,Nigeria,NGA,2019,127.304175,0.14656,68.707328,35.104784,8.757343,14.588161,,0.626175
40526,Nigeria,NGA,2020,130.176766,0.132916,70.18858,37.571966,8.757343,13.525961,,0.624866
40527,Nigeria,NGA,2021,136.986784,0.153703,74.973605,40.643656,8.757343,12.458478,,0.641921
40794,Niue,NIU,2016,0.007328,0.0,0.007328,0.0,0.0,0.0,,3.937668
40795,Niue,NIU,2017,0.007328,0.0,0.007328,0.0,0.0,0.0,,3.920813
40796,Niue,NIU,2018,0.010992,0.0,0.010992,0.0,0.0,0.0,,5.825119
40797,Niue,NIU,2019,0.010992,0.0,0.010992,0.0,0.0,0.0,,5.72202
40798,Niue,NIU,2020,0.011601,0.0,0.011601,0.0,0.0,0.0,,5.97381
40799,Niue,NIU,2021,0.011922,0.0,0.011922,0.0,0.0,0.0,,6.154972
41066,Norway,NOR,2016,44.765,3.5496,23.3674,15.142,0.684,1.467,0.555,8.549219
41067,Norway,NOR,2017,44.242,3.6428,22.6962,15.504,0.766,1.105,0.528,8.383981
41068,Norway,NOR,2018,44.393,3.5268,23.2112,15.297,0.73,1.079,0.549,8.357249
41069,Norway,NOR,2019,42.784,3.5468,21.9492,15.047,0.722,0.957,0.562,8.000156
41070,Norway,NOR,2020,41.196,3.6024,21.1856,14.317,0.725,0.83,0.536,7.657997
41071,Norway,NOR,2021,40.918553,4.1776,21.477984,12.672833,0.701255,1.51886,0.37002,7.565853
41338,Occupied Palestinian Territory,PSE,2016,3.233566,0.0,3.231648,0.0,0.0,0.001918,,0.70389
41339,Occupied Palestinian Territory,PSE,2017,3.268288,0.0,3.268288,0.0,0.0,0.0,,0.69524
41340,Occupied Palestinian Territory,PSE,2018,2.959142,0.0,2.956848,0.0,0.0,0.002294,,0.615776
41341,Occupied Palestinian Territory,PSE,2019,3.265395,0.0,3.264624,0.0,0.0,0.000771,,0.66508
41342,Occupied Palestinian Territory,PSE,2020,3.017203,0.0,3.017203,0.0,0.0,0.0,,0.601108
41343,Occupied Palestinian Territory,PSE,2021,3.092231,0.0,3.092231,0.0,0.0,0.0,,0.602376
41610,Oman,OMN,2016,65.66939,0.0,10.940082,48.252135,1.920937,4.556236,,14.931411
41611,Oman,OMN,2017,68.619694,0.0,12.96287,49.292914,1.71138,4.65253,,15.1083
41612,Oman,OMN,2018,72.555765,0.0,13.285398,52.766752,1.851085,4.65253,,15.769026
41613,Oman,OMN,2019,72.17717,0.0,12.941617,52.766865,1.816159,4.65253,,15.681253
41614,Oman,OMN,2020,72.506186,0.0,11.330244,54.707254,1.816159,4.65253,,15.958578
41615,Oman,OMN,2021,80.991181,0.0,12.195087,62.327405,1.816159,4.65253,,17.916536
41882,Pacific Islands (Palau),,2016,0.0,,,,,,,0.0
41883,Pacific Islands (Palau),,2017,0.0,,,,,,,0.0
41884,Pacific Islands (Palau),,2018,0.0,,,,,,,0.0
41885,Pacific Islands (Palau),,2019,0.0,,,,,,,0.0
41886,Pacific Islands (Palau),,2020,0.0,,,,,,,0.0
41887,Pacific Islands (Palau),,2021,0.0,,,,,,,0.0
42154,Pakistan,PAK,2016,195.791491,23.954783,86.597018,70.296187,14.128052,0.81545,,0.916949
42155,Pakistan,PAK,2017,216.158421,40.978871,85.453257,74.292523,14.751988,0.681782,,0.998978
42156,Pakistan,PAK,2018,205.060928,46.88088,66.241456,75.782512,15.581232,0.574848,,0.933234
42157,Pakistan,PAK,2019,206.061232,50.30672,64.878448,74.976432,15.436983,0.462649,,0.922828
42158,Pakistan,PAK,2020,210.383928,57.210218,65.651413,69.423341,17.644992,0.453964,,0.925999
42159,Pakistan,PAK,2021,229.512397,59.956542,74.983799,75.509501,18.620774,0.441781,,0.991834
42426,Palau,PLW,2016,0.212512,0.0,0.212512,0.0,0.0,0.0,,11.928154
42427,Palau,PLW,2017,0.216176,0.0,0.216176,0.0,0.0,0.0,,12.119527
42428,Palau,PLW,2018,0.212512,0.0,0.212512,0.0,0.0,0.0,,11.896104
42429,Palau,PLW,2019,0.21984,0.0,0.21984,0.0,0.0,0.0,,12.270596
42430,Palau,PLW,2020,0.232023,0.0,0.232023,0.0,0.0,0.0,,12.910238
42431,Palau,PLW,2021,0.238444,0.0,0.238444,0.0,0.0,0.0,,13.229228
42698,Panama,PAN,2016,10.43887,0.831728,8.870544,0.0,0.736598,0.0,,2.592648
42699,Panama,PAN,2017,11.223156,0.230908,10.247896,0.0,0.744352,0.0,,2.739986
42700,Panama,PAN,2018,10.767613,0.582377,9.036007,0.501797,0.647431,0.0,,2.585103
42701,Panama,PAN,2019,13.419543,2.3816,8.910848,1.5572,0.569895,0.0,,3.170571
42702,Panama,PAN,2020,11.656361,2.204189,7.727284,1.154994,0.569895,0.0,,2.714319
42703,Panama,PAN,2021,13.03162,2.924487,8.625756,0.911482,0.569895,0.0,,2.994902
42970,Papua New Guinea,PNG,2016,6.811698,0.0,5.778128,0.857376,0.0,0.176194,,0.765431
42971,Papua New Guinea,PNG,2017,6.469623,0.0,5.44104,0.93432,0.0,0.094263,,0.709794
42972,Papua New Guinea,PNG,2018,7.522541,0.0,6.661152,0.773104,0.0,0.088285,,0.806341
42973,Papua New Guinea,PNG,2019,7.879458,0.0,7.001904,0.813408,0.0,0.064146,,0.825724
42974,Papua New Guinea,PNG,2020,8.325129,0.0,7.389926,0.83248,0.0,0.102723,,0.853891
42975,Papua New Guinea,PNG,2021,8.509555,0.0,7.594429,0.791403,0.0,0.123723,,0.85528
43242,Paraguay,PRY,2016,7.153635,0.003666,6.800139,0.0,0.34983,0.0,,1.141547
43243,Paraguay,PRY,2017,8.068738,0.003664,7.661424,0.0,0.40365,0.0,,1.269587
43244,Paraguay,PRY,2018,8.508181,0.010997,8.093534,0.0,0.40365,0.0,,1.320464
43245,Paraguay,PRY,2019,8.244362,0.003666,7.837047,0.0,0.40365,0.0,,1.262531
43246,Paraguay,PRY,2020,8.033253,0.001285,7.628318,0.0,0.40365,0.0,,1.213722
43247,Paraguay,PRY,2021,8.576565,0.001891,8.171023,0.0,0.40365,0.0,,1.279359
43514,Peru,PER,2016,52.813627,3.213102,27.943364,17.087695,4.339787,0.22968,,1.696399
43515,Peru,PER,2017,53.730448,2.810094,31.995506,14.457147,4.290774,0.176927,,1.700036
43516,Peru,PER,2018,55.163082,2.50268,33.209059,14.950123,4.320439,0.180781,,1.712929
43517,Peru,PER,2019,57.679873,2.572128,34.77136,15.678256,4.546156,0.111973,,1.757201
43518,Peru,PER,2020,47.489139,2.269338,26.903684,13.614184,4.546156,0.155777,,1.425897
43519,Peru,PER,2021,56.282,2.479681,33.814579,15.320304,4.546156,0.121279,,1.669323
43786,Philippines,PHL,2016,122.558,51.486528,53.54936,7.632112,9.569309,0.32069,,1.168607
43787,Philippines,PHL,2017,135.150083,61.632144,55.788064,7.52952,9.952082,0.248273,,1.266179
43788,Philippines,PHL,2018,141.824052,64.904096,57.400224,8.405216,10.909013,0.205503,,1.306305
43789,Philippines,PHL,2019,145.231756,69.52998,55.405615,8.463627,11.674557,0.157976,,1.315734
43790,Philippines,PHL,2020,135.661668,69.125949,46.997341,7.714698,11.674557,0.149122,,1.209203
43791,Philippines,PHL,2021,144.263875,74.912241,50.923127,6.591067,11.674557,0.162883,,1.266802
44058,Bolivia,BOL,2016,22.682924,0.014658,12.038176,9.15048,1.42007,0.05954,,2.01393
44059,Bolivia,BOL,2017,23.479307,0.025652,12.756368,9.223723,1.423875,0.049688,,2.053189
44060,Bolivia,BOL,2018,23.798963,0.021984,12.893616,9.350528,1.481605,0.05123,,2.050414
44061,Bolivia,BOL,2019,23.239274,0.025648,12.754384,8.86688,1.537974,0.054388,,1.973223
44062,Bolivia,BOL,2020,21.067598,0.008997,12.4201,7.283845,1.26451,0.090146,,1.765023
44063,Bolivia,BOL,2021,23.321669,0.013237,13.30371,8.523604,1.419773,0.061344,,1.930686
44330,Poland,POL,2016,324.381233,202.098996,73.97804,32.419593,6.529685,4.553509,4.80141,8.418465
44331,Poland,POL,2017,337.734951,203.597988,83.588319,34.129784,6.996488,4.663026,4.759346,8.764866
44332,Poland,POL,2018,337.048486,198.827006,86.610586,34.283403,7.655328,4.83544,4.836724,8.74963
44333,Poland,POL,2019,318.487666,177.935008,88.158063,35.490788,7.692452,4.343708,4.867646,8.273782
44334,Poland,POL,2020,303.523082,164.234621,85.531578,36.764228,7.690636,4.225053,5.076966,7.898412
44335,Poland,POL,2021,328.579763,179.501978,91.709086,40.570439,7.496242,4.225053,5.076966,8.577376
44602,Portugal,PRT,2016,50.442234,10.831652,25.576533,9.819985,2.297052,1.065741,0.851272,4.881781
44603,Portugal,PRT,2017,55.210185,12.406546,25.948,12.305273,2.530625,1.144149,0.875594,5.356296
44604,Portugal,PRT,2018,51.459107,10.388611,25.514011,11.325774,2.250869,1.047843,0.931998,5.000965
44605,Portugal,PRT,2019,47.618826,5.039867,26.152698,12.157955,2.225102,1.133223,0.909982,4.627714
44606,Portugal,PRT,2020,41.799894,2.430948,23.215232,11.992691,2.309659,1.012769,0.838594,4.058955
44607,Portugal,PRT,2021,40.797216,1.101646,23.885778,11.648769,2.309659,1.012769,0.838594,3.964704
44874,Puerto Rico,PRI,2016,0.0,,,,,,,0.0
44875,Puerto Rico,PRI,2017,0.0,,,,,,,0.0
44876,Puerto Rico,PRI,2018,0.0,,,,,,,0.0
44877,Puerto Rico,PRI,2019,0.0,,,,,,,0.0
44878,Puerto Rico,PRI,2020,0.0,,,,,,,0.0
44879,Puerto Rico,PRI,2021,0.0,,,,,,,0.0
45146,Qatar,QAT,2016,87.54468,0.0,2.586784,80.7912,2.340051,1.826646,,33.73375
45147,Qatar,QAT,2017,100.180027,0.0,9.057075,87.08275,2.095568,1.944634,,36.942875
45148,Qatar,QAT,2018,95.231911,0.0,4.536032,87.144576,1.676454,1.874849,,34.42036
45149,Qatar,QAT,2019,101.152287,0.0,10.416752,87.430368,1.571676,1.733492,,36.032711
45150,Qatar,QAT,2020,92.860729,0.0,8.140869,81.253914,1.571676,1.894269,,33.640499
45151,Qatar,QAT,2021,95.66718,0.0,8.67304,83.531259,1.571676,1.891205,,35.587357
45418,Cameroon,CMR,2016,9.942507,0.0,6.028161,1.010797,0.891234,2.012314,,0.419309
45419,Cameroon,CMR,2017,9.593567,0.0,5.503328,1.121184,1.007482,1.961573,,0.393289
45420,Cameroon,CMR,2018,9.633858,0.0,5.080748,1.458974,1.08498,2.009156,,0.384175
45421,Cameroon,CMR,2019,9.504862,0.0,5.052656,1.326368,1.162479,1.963359,,0.368658
45422,Cameroon,CMR,2020,9.007287,0.0,4.765146,1.386834,1.162479,1.692827,,0.340012
45423,Cameroon,CMR,2021,9.297284,0.0,5.055503,1.611417,1.162479,1.467885,,0.341829
45690,South Korea,KOR,2016,637.914084,320.697359,184.034149,96.655486,26.67176,0.0,9.85533,12.432553
45691,South Korea,KOR,2017,654.537269,337.668762,179.413376,100.860571,26.35058,0.0,10.24398,12.70659
45692,South Korea,KOR,2018,670.168699,340.3476,177.632938,117.17267,24.70206,0.0,10.31343,12.968438
45693,South Korea,KOR,2019,646.102263,321.60607,175.797343,113.58643,24.9299,0.0,10.18252,12.472095
45694,South Korea,KOR,2020,597.634242,282.883413,165.067876,116.63454,22.865592,0.000301,10.18252,11.527395
45695,South Korea,KOR,2021,616.074996,283.908353,171.484229,126.789734,23.704068,0.006091,10.18252,11.886424
45962,Moldova,MDA,2016,4.903671,0.278673,2.464057,1.72704,0.433902,0.0,,1.52046
45963,Moldova,MDA,2017,5.220511,0.40304,2.553808,1.725744,0.537919,0.0,,1.641409
45964,Moldova,MDA,2018,5.44545,0.307776,2.667392,1.875968,0.594314,0.0,,1.733206
45965,Moldova,MDA,2019,5.490665,0.366648,2.753524,1.734244,0.636249,0.0,,1.765776
45966,Moldova,MDA,2020,5.250277,0.3613,2.423479,1.829249,0.636249,0.0,,1.701957
45967,Moldova,MDA,2021,5.60151,0.416131,2.612844,1.936286,0.636249,0.0,,1.829658
46234,South Sudan,SSD,2016,1.70376,0.0,1.70376,0.0,0.0,0.0,,0.153962
46235,South Sudan,SSD,2017,1.454608,0.0,1.454608,0.0,0.0,0.0,,0.136477
46236,South Sudan,SSD,2018,1.498576,0.0,1.498576,0.0,0.0,0.0,,0.144159
46237,South Sudan,SSD,2019,1.652464,0.0,1.652464,0.0,0.0,0.0,,0.158166
46238,South Sudan,SSD,2020,1.498835,0.0,1.498835,0.0,0.0,0.0,,0.141316
46239,South Sudan,SSD,2021,1.58206,0.0,1.58206,0.0,0.0,0.0,,0.147192
46506,Sudan,SDN,2016,20.037709,0.0,17.755744,0.0,1.555589,0.726376,,0.508866
46507,Sudan,SDN,2017,22.431576,0.0,20.155947,0.0,1.555589,0.72004,,0.551418
46508,Sudan,SDN,2018,21.864312,0.0,19.624384,0.0,1.555589,0.684339,,0.520591
46509,Sudan,SDN,2019,21.952047,0.0,19.873536,0.0,1.555589,0.522922,,0.507772
46510,Sudan,SDN,2020,20.035506,0.0,18.025897,0.0,1.555589,0.45402,,0.450839
46511,Sudan,SDN,2021,21.038215,0.0,19.02682,0.0,1.555589,0.455806,,0.460786
46778,Réunion,REU,2016,4.512042,2.070764,2.441278,0.0,0.0,0.0,,4.869313
46779,Réunion,REU,2017,4.45213,2.043268,2.408862,0.0,0.0,0.0,,4.773178
46780,Réunion,REU,2018,4.426369,2.031445,2.394924,0.0,0.0,0.0,,4.702964
46781,Réunion,REU,2019,4.534601,2.081117,2.453484,0.0,0.0,0.0,,4.776185
46782,Réunion,REU,2020,4.102958,1.883018,2.21994,0.0,0.0,0.0,,4.283633
46783,Réunion,REU,2021,4.102958,1.883018,2.21994,0.0,0.0,0.0,,4.246802
47050,Romania,ROU,2016,77.011532,21.990651,26.422873,23.366268,3.181003,0.834752,1.215986,3.8899
47051,Romania,ROU,2017,80.042942,21.839268,28.420121,24.39213,3.310254,0.775684,1.305486,4.06333
47052,Romania,ROU,2018,80.516214,20.694593,28.730236,25.411728,3.504827,0.86052,1.31431,4.106549
47053,Romania,ROU,2019,77.030616,18.309118,29.697703,23.158258,3.828019,0.86164,1.175876,3.945389
47054,Romania,ROU,2020,74.138009,14.234452,29.22042,25.117993,3.901027,0.793885,0.870231,3.813284
47055,Romania,ROU,2021,79.32686,16.450983,31.801002,25.509732,3.901027,0.793885,0.870231,4.104127
47322,Russia,RUS,2016,1624.756335,402.192494,400.367433,749.788229,20.432102,36.218172,15.757905,11.196787
47323,Russia,RUS,2017,1654.154022,384.724075,413.496784,777.235876,20.512221,41.926176,16.25889,11.372466
47324,Russia,RUS,2018,1700.45284,396.392489,391.516179,825.415088,20.090711,49.437808,17.600565,11.674741
47325,Russia,RUS,2019,1692.363414,390.365017,398.417081,803.863171,20.306193,62.654678,16.757274,11.612027
47326,Russia,RUS,2020,1624.221431,366.758617,380.833317,780.781499,20.580721,58.921786,16.345492,11.154039
47327,Russia,RUS,2021,1755.54739,380.227147,403.080393,875.051751,21.920821,58.921786,16.345492,12.09865
47594,Rwanda,RWA,2016,1.068892,0.007328,0.850048,0.084272,0.127244,0.0,,0.08959
47595,Rwanda,RWA,2017,1.167707,0.007328,0.93432,0.084272,0.141787,0.0,,0.095476
47596,Rwanda,RWA,2018,1.281262,0.014656,1.02592,0.095264,0.145422,0.0,,0.102241
47597,Rwanda,RWA,2019,1.812053,0.018357,1.538311,0.091785,0.1636,0.0,,0.14118
47598,Rwanda,RWA,2020,1.661876,0.017877,1.392487,0.087912,0.1636,0.0,,0.126413
47599,Rwanda,RWA,2021,1.754532,0.019217,1.469808,0.101907,0.1636,0.0,,0.130333
47866,Ryukyu Islands,,2016,0.0,,,,,,,0.0
47867,Ryukyu Islands,,2017,0.0,,,,,,,0.0
47868,Ryukyu Islands,,2018,0.0,,,,,,,0.0
47869,Ryukyu Islands,,2019,0.0,,,,,,,0.0
47870,Ryukyu Islands,,2020,0.0,,,,,,,0.0
47871,Ryukyu Islands,,2021,0.0,,,,,,,0.0
48138,Saint Helena,SHN,2016,0.014656,0.0,0.014656,0.0,0.0,0.0,,2.659891
48139,Saint Helena,SHN,2017,0.010992,0.0,0.010992,0.0,0.0,0.0,,2.000364
48140,Saint Helena,SHN,2018,0.010992,0.0,0.010992,0.0,0.0,0.0,,2.008772
48141,Saint Helena,SHN,2019,0.014656,0.0,0.014656,0.0,0.0,0.0,,2.690655
48142,Saint Helena,SHN,2020,0.012513,0.0,0.012513,0.0,0.0,0.0,,2.308731
48143,Saint Helena,SHN,2021,0.013785,0.0,0.013785,0.0,0.0,0.0,,2.550917
48410,Saint Lucia,LCA,2016,0.487312,0.0,0.487312,0.0,0.0,0.0,,2.762336
48411,Saint Lucia,LCA,2017,0.505632,0.0,0.505632,0.0,0.0,0.0,,2.85405
48412,Saint Lucia,LCA,2018,0.509296,0.0,0.509296,0.0,0.0,0.0,,2.863015
48413,Saint Lucia,LCA,2019,0.516624,0.0,0.516624,0.0,0.0,0.0,,2.892907
48414,Saint Lucia,LCA,2020,0.441095,0.0,0.441095,0.0,0.0,0.0,,2.460958
48415,Saint Lucia,LCA,2021,0.485927,0.0,0.485927,0.0,0.0,0.0,,2.704837
48682,Sint Maarten (Dutch part),SXM,2016,0.743792,0.0,0.743792,0.0,0.0,0.0,,17.989455
48683,Sint Maarten (Dutch part),SXM,2017,0.707152,0.0,0.707152,0.0,0.0,0.0,,16.883986
48684,Sint Maarten (Dutch part),SXM,2018,0.688832,0.0,0.688832,0.0,0.0,0.0,,16.30526
48685,Sint Maarten (Dutch part),SXM,2019,0.688832,0.0,0.688832,0.0,0.0,0.0,,16.026803
48686,Sint Maarten (Dutch part),SXM,2020,0.588126,0.0,0.588126,0.0,0.0,0.0,,13.482639
48687,Sint Maarten (Dutch part),SXM,2021,0.647902,0.0,0.647902,0.0,0.0,0.0,,14.711011
48954,Samoa,WSM,2016,0.23816,0.0,0.23816,0.0,0.0,0.0,,1.158681
48955,Samoa,WSM,2017,0.245488,0.0,0.245488,0.0,0.0,0.0,,1.182334
48956,Samoa,WSM,2018,0.23816,0.0,0.23816,0.0,0.0,0.0,,1.135712
48957,Samoa,WSM,2019,0.271136,0.0,0.271136,0.0,0.0,0.0,,1.279517
48958,Samoa,WSM,2020,0.286161,0.0,0.286161,0.0,0.0,0.0,,1.331423
48959,Samoa,WSM,2021,0.29408,0.0,0.29408,0.0,0.0,0.0,,1.344282
49226,Sao Tome and Principe,STP,2016,0.124576,0.0,0.124576,0.0,0.0,0.0,,0.608781
49227,Sao Tome and Principe,STP,2017,0.12824,0.0,0.12824,0.0,0.0,0.0,,0.616432
49228,Sao Tome and Principe,STP,2018,0.131904,0.0,0.131904,0.0,0.0,0.0,,0.62412
49229,Sao Tome and Principe,STP,2019,0.131904,0.0,0.131904,0.0,0.0,0.0,,0.614653
49230,Sao Tome and Principe,STP,2020,0.124398,0.0,0.124398,0.0,0.0,0.0,,0.568961
49231,Sao Tome and Principe,STP,2021,0.131978,0.0,0.131978,0.0,0.0,0.0,,0.591547
49498,Saudi Arabia,SAU,2016,642.859808,0.0,368.233524,241.862899,28.879455,3.88393,,19.237928
49499,Saudi Arabia,SAU,2017,643.638561,0.0,367.662546,247.625546,23.998174,4.352294,,18.823627
49500,Saudi Arabia,SAU,2018,626.191138,0.0,339.498912,257.220128,25.134882,4.337216,,17.881911
49501,Saudi Arabia,SAU,2019,656.481441,0.0,371.994928,255.934064,24.603584,3.948865,,18.323466
49502,Saudi Arabia,SAU,2020,661.192959,0.0,371.034522,260.309005,25.592905,4.256527,,18.367947
49503,Saudi Arabia,SAU,2021,672.37987,0.0,369.721417,270.065088,28.688192,3.905174,,18.702989
49770,Senegal,SEN,2016,10.015698,1.205456,6.771072,0.043968,1.995202,0.0,,0.678968
49771,Senegal,SEN,2017,10.760132,1.439952,7.258384,0.03664,2.013801,0.011355,,0.709875
49772,Senegal,SEN,2018,11.330392,2.260688,6.950608,0.021984,2.097112,0.0,,0.727477
49773,Senegal,SEN,2019,12.761457,2.08788,7.970572,0.029304,2.673702,0.0,,0.797552
49774,Senegal,SEN,2020,12.743876,1.894052,8.14475,0.031372,2.673702,0.0,,0.775358
49775,Senegal,SEN,2021,13.59791,2.190262,8.700009,0.033937,2.673702,0.0,,0.80572
50042,Serbia,SRB,2016,45.039818,31.067056,8.888864,4.327184,0.747746,0.008968,,6.010688
50043,Serbia,SRB,2017,45.529551,31.021923,8.871259,4.844198,0.792171,0.0,,6.099167
50044,Serbia,SRB,2018,44.320356,29.60512,8.965808,4.880448,0.86898,0.0,,5.961991
50045,Serbia,SRB,2019,44.344499,29.601456,9.222288,4.56168,0.959075,0.0,,5.991645
50046,Serbia,SRB,2020,44.549156,30.428334,8.624748,4.536567,0.959075,0.000432,,6.054516
50047,Serbia,SRB,2021,30.868986,16.012263,8.70167,5.195977,0.959075,0.0,,4.230501
50314,Seychelles,SYC,2016,0.553264,0.0,0.553264,0.0,0.0,0.0,,5.504676
50315,Seychelles,SYC,2017,0.575248,0.0,0.575248,0.0,0.0,0.0,,5.650156
50316,Seychelles,SYC,2018,0.600896,0.0,0.600896,0.0,0.0,0.0,,5.828227
50317,Seychelles,SYC,2019,0.593568,0.0,0.593568,0.0,0.0,0.0,,5.686988
50318,Seychelles,SYC,2020,0.538384,0.0,0.538384,0.0,0.0,0.0,,5.101716
50319,Seychelles,SYC,2021,0.568279,0.0,0.568279,0.0,0.0,0.0,,5.337406
50586,Sierra Leone,SLE,2016,1.150496,0.0,1.150496,0.0,0.0,0.0,,0.153524
50587,Sierra Leone,SLE,2017,1.055232,0.0,1.055232,0.0,0.0,0.0,,0.137444
50588,Sierra Leone,SLE,2018,1.036912,0.0,1.036912,0.0,0.0,0.0,,0.131901
50589,Sierra Leone,SLE,2019,1.1908,0.0,1.1908,0.0,0.0,0.0,,0.147984
50590,Sierra Leone,SLE,2020,1.216472,0.0,1.216472,0.0,0.0,0.0,,0.147738
50591,Sierra Leone,SLE,2021,1.299404,0.0,1.299404,0.0,0.0,0.0,,0.154312
50858,Singapore,SGP,2016,35.654384,1.832,13.77664,20.045744,0.0,0.0,,6.242087
50859,Singapore,SGP,2017,37.156624,3.86552,13.13544,20.155664,0.0,0.0,,6.445782
50860,Singapore,SGP,2018,46.01984,2.05534,23.381786,20.582713,0.0,0.0,,7.914618
50861,Singapore,SGP,2019,29.91656,1.971232,7.056864,20.888464,0.0,0.0,,5.099641
50862,Singapore,SGP,2020,29.909495,1.864508,7.073996,20.970992,0.0,0.0,,5.06094
50863,Singapore,SGP,2021,32.506889,3.348566,6.933074,22.225249,0.0,0.0,,5.471564
51130,Slovakia,SVK,2016,34.912876,13.828549,10.024989,8.849289,1.340952,0.019828,0.849269,6.428203
51131,Slovakia,SVK,2017,36.112652,14.284374,10.13604,9.389796,1.367054,0.022694,0.912695,6.639067
51132,Slovakia,SVK,2018,36.102971,14.206341,10.23418,9.358968,1.346682,0.01973,0.93707,6.628357
